iter	Passed	Remaining
147	153	881
148	153	877
149	154	873
150	154	869
151	155	866
152	155	862
153	156	858
154	156	854
155	157	850
156	157	846
157	158	842
158	158	838
159	159	834
160	159	829
161	159	827
162	160	823
163	160	819
164	161	817
165	162	814
166	162	810
167	163	808
168	164	806
169	164	803
170	164	799
171	165	796
172	166	793
173	166	791
174	167	790
175	168	786
176	168	783
177	169	780
178	169	777
179	169	773
180	170	770
181	171	768
182	171	766
183	172	766
184	173	765
185	186	816
186	187	816
187	188	815
188	189	814
189	191	815
190	192	814
191	192	812
192	193	809
193	194	807
194	195	807
195	196	806
196	197	805
197	198	803
198	199	802
199	200	800
200	201	799
201	201	796
202	202	794
203	202	792
204	204	791
205	205	791
206	205	788
207	206	787
208	207	786
209	208	785
210	209	784
211	210	783
212	211	781
213	212	779
214	212	777
215	213	775
216	214	773
217	215	771
218	215	769
219	216	768
220	217	766
221	217	763
222	218	762
223	220	762
224	221	762
225	223	765
226	224	764
227	224	761
228	225	758
229	225	756
230	226	754
231	230	762
232	231	761
233	232	760
234	234	764
235	238	771
236	238	768
237	239	767
238	240	766
239	241	765
240	242	763
241	243	762
242	244	760
243	245	759
244	246	758
245	246	756
246	247	754
247	250	758
248	251	757
249	251	755
250	252	753
251	253	750
252	253	748
253	254	748
254	256	747
255	257	747
256	257	745
257	258	744
258	259	742
259	260	740
260	260	738
261	261	736
262	262	734
263	262	732
264	263	730
265	264	730
266	265	728
267	265	726
268	266	725
269	267	724
270	268	723
271	269	722
272	270	721
273	271	719
274	272	718
275	273	716
276	273	714
277	274	713
278	275	711
279	275	709
280	276	707
281	276	704
282	277	702
283	278	700
284	279	700
285	280	699
286	280	697
287	281	695
288	281	693
289	282	691
290	282	689
291	283	687
292	284	685
293	284	683
294	285	681
295	285	679
296	286	677
297	287	676
298	288	675
299	288	673
300	289	672
301	290	670
302	290	668
303	291	666
304	292	665
305	293	665
306	294	663
307	294	662
308	296	662
309	297	661
310	298	660
311	298	658
312	299	657
313	300	655
314	300	653
315	301	651
316	301	650
317	302	648
318	302	646
319	303	644
320	303	642
321	304	640
322	304	639
323	305	637
324	306	636
325	307	634
326	307	633
327	308	632
328	309	630
329	309	628
330	310	626
331	310	625
332	311	623
333	311	621
334	312	620
335	312	618
336	313	616
337	314	615
338	314	613
339	316	613
340	316	612
341	317	610
342	317	608
343	318	607
344	318	605
345	319	603
346	320	602
347	321	601
348	322	600
349	322	598
350	322	597
351	323	595
352	323	593
353	324	592
354	325	590
355	325	589
356	326	587
357	326	586
358	327	584
359	328	583
360	328	581
361	329	580
362	329	578
363	330	576
364	330	575
365	331	573
366	331	572
367	332	570
368	332	569
369	333	567
370	334	566
371	334	565
372	335	563
373	336	562
374	336	561
375	337	559
376	337	557
377	338	556
378	338	554
379	339	553
380	339	552
381	340	550
382	340	549
383	341	547
384	342	546
385	342	544
386	343	543
387	343	542
388	344	540
389	344	539
390	345	537
391	345	536
392	346	534
393	346	533
394	347	532
395	347	530
396	348	529
397	349	528
398	350	527
399	350	526
400	351	524
401	351	523
402	352	521
403	352	520
404	353	519
405	354	517
406	354	516
407	355	515
408	355	513
409	356	512
410	356	511
411	357	509
412	357	508
413	358	506
414	358	505
415	359	504
416	359	502
417	360	501
418	361	500
419	361	499
420	362	498
421	364	498
422	365	498
423	365	497
424	366	496
425	367	495
426	367	493
427	368	492
428	368	490
429	369	489
430	369	488
431	372	490
432	373	489
433	374	488
434	375	488
435	376	487
436	380	490
437	381	489
438	381	488
439	382	487
440	383	486
441	384	485
442	384	483
443	385	482
444	385	481
445	386	480
446	387	478
447	387	477
448	388	476
449	388	475
450	389	474
451	390	472
452	390	471
453	391	470
454	392	469
455	392	468
456	393	467
457	393	465
458	394	464
459	394	463
460	395	461
461	395	460
462	396	460
463	397	458
464	398	458
465	398	456
466	399	455
467	399	454
468	401	454
469	401	453
470	402	451
471	402	450
472	403	449
473	404	448
474	404	447
475	405	446
476	406	445
477	408	446
478	409	445
479	409	443
480	410	442
481	410	441
482	411	440
483	411	439
484	412	438
485	413	436
486	413	435
487	414	434
488	414	433
489	415	432
490	415	431
491	416	429
492	416	428
493	417	427
494	417	426
495	418	425
496	418	423
497	419	423
498	420	422
499	421	421
500	421	419
501	422	419
502	422	417
503	423	416
504	424	415
505	424	414
506	425	413
507	425	412
508	426	411
509	427	410
510	427	409
511	428	408
512	428	407
513	429	406
514	430	405
515	430	403
516	431	402
517	431	401
518	432	400
519	432	399
520	433	398
521	434	397
522	435	397
523	436	396
524	436	395
525	437	394
526	437	392
527	438	391
528	438	390
529	439	389
530	439	388
531	442	389
532	443	388
533	444	388
534	445	387
535	446	386
536	447	385
537	448	384
538	450	385
539	451	384
540	451	383
541	452	381
542	452	380
543	452	379
544	453	378
545	454	378
546	455	377
547	456	376
548	456	375
549	457	374
550	457	372
551	458	371
552	458	370
553	459	369
554	459	368
555	460	367
556	460	366
557	461	365
558	462	364
559	463	364
560	463	362
561	464	361
562	464	360
563	465	359
564	466	359
565	466	358
566	467	357
567	468	356
568	469	355
569	469	354
570	470	353
571	470	352
572	471	351
573	471	350
574	472	349
575	472	348
576	473	347
577	474	346
578	474	345
579	475	344
580	475	343
581	476	342
582	477	341
583	477	340
584	478	339
585	479	338
586	480	337
587	480	336
588	481	335
589	482	334
590	482	333
591	483	333
592	483	331
593	484	331
594	484	330
595	485	329
596	486	328
597	486	327
598	487	326
599	487	325
600	488	324
601	488	323
602	489	322
603	490	321
604	491	320
605	493	320
606	493	319
607	494	318
608	494	317
609	495	316
610	495	315
611	496	314
612	496	313
613	497	312
614	497	311
615	498	310
616	499	309
617	499	308
618	500	307
619	500	306
620	501	305
621	501	304
622	502	303
623	502	303
624	503	302
625	504	301
626	504	300
627	505	299
628	506	298
629	506	297
630	507	296
631	507	295
632	508	294
633	509	293
634	509	292
635	510	291
636	510	291
637	511	290
638	511	289
639	512	288
640	512	287
641	513	286
642	514	285
643	514	284
644	515	283
645	516	282
646	516	281
647	517	281
648	521	281
649	521	280
650	524	281
651	525	280
652	526	279
653	527	278
654	527	278
655	528	277
656	529	276
657	530	275
658	531	274
659	532	274
660	532	273
661	536	273
662	536	272
663	537	272
664	538	271
665	539	270
666	540	269
667	541	268
668	541	268
669	542	267
670	543	266
671	544	265
672	545	265
673	547	264
674	548	263
675	549	263
676	550	262
677	551	261
678	551	260
679	552	259
680	552	258
681	553	257
682	553	257
683	554	256
684	554	255
685	555	254
686	555	253
687	556	252
688	557	251
689	558	250
690	558	249
691	559	249
692	563	249
693	564	248
694	565	248
695	565	247
696	566	246
697	567	245
698	567	244
699	568	243
700	568	242
701	569	241
702	570	240
703	571	240
704	571	239
705	572	238
706	572	237
707	573	236
708	574	235
709	578	236
710	578	235
711	579	234
712	580	233
713	581	232
714	582	232
715	583	231
716	585	230
717	586	230
718	592	231
719	593	230
720	594	230
721	595	229
722	608	233
723	609	232
724	615	233
725	622	234
726	624	234
727	630	235
728	631	234
729	631	233
730	632	232
731	634	232
732	635	231
733	636	230
734	637	229
735	638	228
736	638	228
737	645	229
738	647	228
739	648	227
740	649	226
741	650	226
742	650	225
743	651	224
744	652	223
745	653	222
746	666	225
747	667	224
748	668	224
749	669	223
750	670	222
751	678	223
752	681	223
753	682	222
754	683	221
755	684	220
756	685	220
757	694	221
758	778	247
759	780	246
760	793	249
761	793	247
762	794	246
763	796	245
764	797	244
765	798	243
766	799	242
767	803	242
768	806	242
769	810	242
770	811	240
771	816	241
772	818	240
773	822	240
774	822	238
775	823	237
776	828	237
777	830	236
778	836	237
779	836	236
780	837	234
781	838	233
782	845	234
783	846	233
784	847	232
785	848	230
786	849	229
787	850	228
788	851	227
789	851	226
790	852	225
791	852	223
792	853	222
793	853	221
794	853	220
795	854	218
796	854	217
797	855	216
798	855	215
799	856	214
800	856	212
801	857	211
802	857	210
803	857	209
804	858	207
805	858	206
806	859	205
807	860	204
808	860	203
809	861	202
810	866	201
811	867	200
812	869	199
813	871	199
814	873	198
815	874	197
816	875	196
817	877	195
818	878	194
819	879	193
820	880	191
821	881	190
822	882	189
823	883	188
824	885	187
825	888	187
826	889	186
827	901	187
828	917	189
829	918	188
830	919	186
831	920	185
832	920	184
833	921	183
834	922	182
835	923	181
836	924	180
837	925	179
838	926	177
839	927	176
840	928	175
841	929	174
842	931	173
843	932	172
844	933	171
845	936	170
846	937	169
847	963	172
848	964	171
849	965	170
850	968	169
851	1032	179
852	1035	178
853	1045	178
854	1050	178
855	1051	176
856	1052	175
857	1063	176
858	1064	174
859	1065	173
860	1066	172
861	1067	170
862	1068	169
863	1072	168
864	1078	168
865	1082	167
866	1083	166
867	1083	164
868	1090	164
869	1091	163
870	1092	161
871	1093	160
872	1103	160
873	1105	159
874	1105	157
875	1106	156
876	1107	155
877	1108	154
878	1114	153
879	1115	152
880	1116	150
881	1117	149
882	1118	148
883	1120	147
884	1121	145
885	1121	144
886	1121	142
887	1123	141
888	1126	140
889	1127	139
890	1130	138
891	1131	136
892	1132	135
893	1132	134
894	1133	132
895	1134	131
896	1135	130
897	1136	129
898	1137	127
899	1138	126
900	1139	125
901	1141	123
902	1142	122
903	1143	121
904	1144	120
905	1145	118
906	1146	117
907	1147	116
908	1148	114
909	1149	113
910	1150	112
911	1154	111
912	1155	110
913	1156	108
914	1156	107
915	1157	106
916	1158	104
917	1159	103
918	1172	103
919	1172	101
920	1173	100
921	1174	99
922	1175	98
923	1176	96
924	1177	95
925	1178	94
926	1179	92
927	1184	91
928	1184	90
929	1185	89
930	1186	87
931	1187	86
932	1188	85
933	1189	84
934	1190	82
935	1190	81
936	1191	80
937	1192	78
938	1193	77
939	1194	76
940	1194	74
941	1195	73
942	1199	72
943	1200	71
944	1200	69
945	1201	68
946	1202	67
947	1203	66
948	1204	64
949	1205	63
950	1205	62
951	1206	60
952	1206	59
953	1207	58
954	1208	56
955	1209	55
956	1209	54
957	1212	53
958	1213	51
959	1214	50
960	1215	49
961	1216	48
962	1217	46
963	1218	45
964	1219	44
965	1220	42
966	1220	41
967	1221	40
968	1222	39
969	1227	37
970	1228	36
971	1229	35
972	1230	34
973	1230	32
974	1231	31
975	1232	30
976	1233	29
977	1234	27
978	1235	26
979	1236	25
980	1237	23
981	1238	22
982	1241	21
983	1241	20
984	1242	18
985	1243	17
986	1244	16
987	1245	15
988	1245	13
989	1246	12
990	1247	11
991	1248	10
992	1249	8
993	1250	7
994	1250	6
995	1251	5
996	1253	3
997	1255	2
998	1255	1
999	1256	0
